"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 19 16:44:09 UZT 2023","Sat Aug 19 16:44:17 UZT 2023","7276","","Материал","Конструктор тест-тренажера","TestTrainQuestionAnswersValidationTests","RemoveAnswerFromQuestionInTestTrain","Конструктор теста-тренажера: можно удалить вариант ответа из вопроса с типом ответа 'Выбор из вариантов'",""
"passed","Sat Aug 19 16:46:14 UZT 2023","Sat Aug 19 16:46:27 UZT 2023","12609","","Материал","Конструктор тест-тренажера","TestTrainSettingsValidationTests","EditTestTrainDescription","Конструктор теста-тренажера: можно изменить описание теста-тренажера",""
"passed","Sat Aug 19 16:42:22 UZT 2023","Sat Aug 19 16:42:35 UZT 2023","13540","","Материал","Конструктор тест-тренажера","TestTrainBlocksAndVariantsValidationTests","CheckRemoveQuestionFromTestTrain","Конструктор теста-тренажера: можно удалить вопрос",""
"passed","Fri Aug 18 23:12:53 UZT 2023","Fri Aug 18 23:13:01 UZT 2023","7929","Активность","Контрольная","Прохождение теста","TestActivityPassingTests","CancelSubmissionPassingTest","Прохождение теста: можно отменить отправку для проверки ('Изменить ответы')",""
"passed","Fri Aug 18 23:16:57 UZT 2023","Fri Aug 18 23:17:11 UZT 2023","13426","Активность","Контрольная","Прохождение теста","TestActivityStatusWithTwoOrMoreAttemptsTests","ResultOfPassingDependOnSettings","Страница командной контрольной: результат тестирования из попытках зависеть от настройки 'За лучшую попытку'",""
"passed","Sat Aug 19 16:43:42 UZT 2023","Sat Aug 19 16:43:52 UZT 2023","9150","","Материал","Конструктор тест-тренажера","TestTrainQuestionAnswersValidationTests","CheckAddOneMoreAnswerVariantInQuestionWithFreeAnswerExactMatchInTestTrain","Конструктор теста-тренажера: можно добавить еще один вариант ответа в вопрос с типом ответа 'Свободный ответ - точное совпадение'",""
"passed","Fri Aug 18 23:16:19 UZT 2023","Fri Aug 18 23:16:35 UZT 2023","15601","Активность","Контрольная","Прохождение теста","TestActivityStatusWithTwoOrMoreAttemptsTests","StatusExistIfAtLeastOneCompletedAttempt","Страница индивидуальной контрольной: статус отображается, если есть хотя бы одна завершенная попытка",""
"passed","Fri Aug 18 23:17:24 UZT 2023","Fri Aug 18 23:17:37 UZT 2023","12405","Активность","Контрольная","Прохождение теста","TestActivityStatusWithTwoOrMoreAttemptsTests","ResultOfPassingDependOnSettings","Страница командной контрольной: результат тестирования из попытках зависеть от настройки 'За последнюю попытку'",""
"passed","Fri Aug 18 22:51:18 UZT 2023","Fri Aug 18 22:51:37 UZT 2023","19283","","Материал","Конструктор теста","TestQuestionAnswersValidationTests","CheckAddAnswerVariantInMultipleChoiceTestQuestion","Конструктор теста: можно добавить еще один вариант ответа в вопрос с типом ответа 'Выбор из вариантов'",""
"passed","Fri Aug 18 22:54:44 UZT 2023","Fri Aug 18 22:54:50 UZT 2023","6643","","Материал","Конструктор теста","TestSettingsValidationTests","AddTagInTest","Конструктор теста: можно добавлять теги знаний",""
"passed","Fri Aug 18 23:09:54 UZT 2023","Fri Aug 18 23:10:06 UZT 2023","12354","Активность","Контрольная","Создание контрольной","TestActivityCreatingTests","CreateTestActivity","Создание контрольной: можно создать контрольную, если заполнены обязательные поля",""
"passed","Fri Aug 18 22:46:15 UZT 2023","Fri Aug 18 22:46:33 UZT 2023","18314","","Материал","Конструктор теста","TestAddingQuestionsTests","CheckAddQuestionWithFreeAnswerManualCheck","Конструктор теста: можно добавить вопрос с типом ответа “Свободный ответ” - “Ручная проверка”",""
"passed","Fri Aug 18 23:11:52 UZT 2023","Fri Aug 18 23:11:54 UZT 2023","1786","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","ErrorWhenDeletingTestActivityWithAttempts","Редактирование контрольной: невозможно удалить контрольную при наличии оценок",""
"passed","Fri Aug 18 22:48:40 UZT 2023","Fri Aug 18 22:48:55 UZT 2023","15663","","Материал","Конструктор теста","TestBlocksAndVariantsValidationTests","CheckRenameTestVariant","Конструктор теста: можно переименовать вариант",""
"passed","Fri Aug 18 22:55:21 UZT 2023","Fri Aug 18 22:55:28 UZT 2023","6989","","Материал","Конструктор теста","TestSettingsValidationTests","EditTestTimeLimit","Конструктор теста: можно изменить временной лимит",""
"passed","Sat Aug 19 16:42:06 UZT 2023","Sat Aug 19 16:42:22 UZT 2023","15582","","Материал","Конструктор тест-тренажера","TestTrainBlocksAndVariantsValidationTests","DeleteBlockTestTrain","Конструктор теста-тренажера: можно удалить блок",""
"passed","Fri Aug 18 23:15:45 UZT 2023","Fri Aug 18 23:15:51 UZT 2023","6186","Активность","Контрольная","Прохождение теста","TestActivityStatusWithOneAttemptTests","StatusChangesIfMinThresholdChanges","Страница командной контрольной: статус меняется, если преподаватель меняет минимальный порог баллов",""
"passed","Fri Aug 18 22:49:59 UZT 2023","Fri Aug 18 22:50:12 UZT 2023","13559","","Материал","Конструктор теста","TestBlocksAndVariantsValidationTests","CheckAddTestBlock","Конструктор теста: можно добавить блок",""
"passed","Fri Aug 18 22:53:04 UZT 2023","Fri Aug 18 22:53:19 UZT 2023","15509","","Материал","Конструктор теста","TestQuestionsValidationTests","CheckAddCommentInTestQuestion","Конструктор теста: можно добавить комментария к вопросу",""
